Brand,Description,link,pricewas,pricenow
APPLE,IMAC 27-INCH 5K 3.0GHZ 6C/8GB/1TBF/R570X MRQY2X/A,https://www.davidjones.com/brand/apple/22662079/iMac-27-inch-5K-3.0GHZ-6C%7C8GB%7C1TBF%7CR570X-MRQY2X%7CA.html,"$2,799.00","$2,799.00"
APPLE,LIGHTNING DIGITAL AV ADAPTER MD826AM/A,https://www.davidjones.com/brand/apple/21429237/LIGHTNING-DIGITAL-AV-ADAPTER-MD826AM%7CA.html,$75.00,$75.00
APPLE,USB-C CHARGE CABLE (2 M) MLL82AM/A,https://www.davidjones.com/brand/apple/21429247/USB-C-CHARGE-CABLE-(2-M)-MLL82AM%7CA.html,$29.00,$29.00
APPLE,IPAD PRO 12.9IN (3RD GEN) SMART KEYBOARD- MU8H2ZA/A,https://www.davidjones.com/brand/apple/22293666/IPAD-PRO-12.9IN-(3RD-GEN)-SMART-KEYBOARD--MU8H2ZA%7CA.html,$299.00,$299.00
APPLE,USB-C CHARGE CABLE (1 M)- MUF72FE/A,https://www.davidjones.com/brand/apple/22293655/USB-C-CHARGE-CABLE-(1-M)--MUF72FE%7CA.html,$29.00,$29.00
APPLE,12W USB POWER ADAPTER MD836X/A,https://www.davidjones.com/brand/apple/21433589/12W-USB-POWER-ADAPTER-MD836X%7CA.html,$29.00,$29.00
APPLE,85W MAGSAFE 2 POWER ADAPTER MD506X/A,https://www.davidjones.com/brand/apple/21433592/85W-MAGSAFE-2-POWER-ADAPTER-MD506X%7CA.html,$119.00,$119.00
APPLE,IPHONE XS 256GB - SPACE GREY - MT9H2X/A,https://www.davidjones.com/brand/apple/22178588/IPHONE-XS-256GB---SPACE-GREY---MT9H2X%7CA.html,"RRP
$1,437.00","OUR PRICE
$1,197.00"
APPLE,IPHONE XS 64GB - GOLD - MT9G2X/A,https://www.davidjones.com/brand/apple/22178587/IPHONE-XS-64GB---GOLD---MT9G2X%7CA.html,"RRP
$1,167.00","OUR PRICE
$997.00"
APPLE,IPHONE XS MAX 256GB - SPACE GREY - MT532X/A,https://www.davidjones.com/brand/apple/22178597/IPHONE-XS-MAX-256GB---SPACE-GREY---MT532X%7CA.html,"RRP
$1,617.00","OUR PRICE
$1,297.00"
APPLE,IPHONE XS MAX 512GB - SILVER - MT572X/A,https://www.davidjones.com/brand/apple/22178601/IPHONE-XS-MAX-512GB---SILVER---MT572X%7CA.html,"RRP
$1,797.00","OUR PRICE
$1,497.00"
APPLE,IPHONE XS MAX 512GB - SPACE GREY - MT562X/A,https://www.davidjones.com/brand/apple/22178600/IPHONE-XS-MAX-512GB---SPACE-GREY---MT562X%7CA.html,"RRP
$1,797.00","OUR PRICE
$1,497.00"
APPLE,IPHONE XS MAX 64GB - GOLD - MT522X/A,https://www.davidjones.com/brand/apple/22178596/IPHONE-XS-MAX-64GB---GOLD---MT522X%7CA.html,"RRP
$1,347.00","OUR PRICE
$1,097.00"
APPLE,IPHONE XS MAX 64GB - SILVER - MT512X/A,https://www.davidjones.com/brand/apple/22178595/IPHONE-XS-MAX-64GB---SILVER---MT512X%7CA.html,"RRP
$1,347.00","OUR PRICE
$1,097.00"
APPLE,IPHONE XS MAX 64GB - SPACE GREY - MT502X/A,https://www.davidjones.com/brand/apple/22178594/IPHONE-XS-MAX-64GB---SPACE-GREY---MT502X%7CA.html,"RRP
$1,347.00","OUR PRICE
$1,097.00"
APPLE,LIGHTNING TO 3.5MM H/PHONE JACK ADAPTER MMX62FE/A,https://www.davidjones.com/brand/apple/21429236/LIGHTNING-TO-3.5MM-H%7CPHONE-JACK-ADAPTER-MMX62FE%7CA.html,$15.00,$15.00
APPLE,LIGHTNING TO USB 2.0 CABLE (0.5M) ME291AM/A,https://www.davidjones.com/brand/apple/21429250/LIGHTNING-TO-USB-2.0-CABLE-(0.5M)-ME291AM%7CA.html,$29.00,$29.00
APPLE,LIGHTNING TO USB 2.0 CABLE (2 M) MD819AM/A,https://www.davidjones.com/brand/apple/21429238/LIGHTNING-TO-USB-2.0-CABLE-(2-M)-MD819AM%7CA.html,$45.00,$45.00
APPLE,LIGHTNING TO USB-C CABLE (1 M) MQGJ2FE/A,https://www.davidjones.com/brand/apple/21925915/LIGHTNING-TO-USB-C-CABLE-(1-M)-MQGJ2FE%7CA.html,$29.00,$29.00
APPLE,USB-C DIGITAL AV MULTIPORT ADAPTER MJ1K2AM/A,https://www.davidjones.com/brand/apple/21429244/USB-C-DIGITAL-AV-MULTIPORT-ADAPTER-MJ1K2AM%7CA.html,$99.00,$99.00
APPLE,USB-C TO 3.5MM HEADPHONE JACK ADAPTER- MU7E2FE/A,https://www.davidjones.com/brand/apple/22293654/USB-C-TO-3.5MM-HEADPHONE-JACK-ADAPTER--MU7E2FE%7CA.html,$15.00,$15.00
APPLE,IPAD PRO 11-INCH WI-FI + CELLULAR 64GB SPACE GREY MU0M2X/A,https://www.davidjones.com/brand/apple/22287030/iPad-Pro-11-inch-Wi-Fi-+-Cellular-64GB-Space-Grey-MU0M2X%7CA.html,"RRP
$1,267.00","OUR PRICE
$1,197.00"
APPLE,IPAD PRO 11-INCH WI-FI+ CELLULAR 64GB SILVER MU0U2X/A,https://www.davidjones.com/brand/apple/22287031/iPad-Pro-11-inch-Wi-Fi+-Cellular-64GB-Silver-MU0U2X%7CA.html,"RRP
$1,267.00","OUR PRICE
$1,197.00"
APPLE,IPAD AIR 10.5-INCH WI-FI + CELL 256GB GOLD (3 GEN) MV0Q2X/A,https://www.davidjones.com/brand/apple/22662105/iPad-Air-10.5-inch-Wi-Fi-+-Cell-256GB-Gold-(3-Gen)-MV0Q2X%7CA.html,"$1,199.00","$1,199.00"
APPLE,IPAD AIR 10.5-INCH WI-FI+CELL 256GB SILVER (3 GEN) MV0P2X/A,https://www.davidjones.com/brand/apple/22662104/iPad-Air-10.5-inch-Wi-Fi+Cell-256GB-Silver-(3-Gen)-MV0P2X%7CA.html,"$1,199.00","$1,199.00"
APPLE,IPAD AIR 10.5-INCH WI-FI+CELL 64GB GREY (3RD GEN) MV0D2X/A,https://www.davidjones.com/brand/apple/22662100/iPad-Air-10.5-inch-Wi-Fi+Cell-64GB-Grey-(3rd-Gen)-MV0D2X%7CA.html,$979.00,$979.00
APPLE,IPAD AIR 10.5-INCH WI-FI+CELL 64GB SILVER (3RD GEN) MV0E2X/A,https://www.davidjones.com/brand/apple/22662101/iPad-Air-10.5-inch-Wi-Fi+Cell-64GB-Silver-(3rd-Gen)-MV0E2X%7CA.html,$979.00,$979.00
APPLE,IPAD AIR 10.5-INCH WI-FI+CELL 256GB GREY (3RD GEN) MV0N2X/A,https://www.davidjones.com/brand/apple/22662103/iPad-Air-10.5-inch-Wi-Fi+Cell-256GB-Grey-(3rd-Gen)-MV0N2X%7CA.html,"$1,199.00","$1,199.00"
